ZONEID,TARGETVAR,Day,Month,Year,Hour
10,0.273678156788038,1,1,2012,1
10,0.0867959455087883,1,1,2012,2
10,0.0068114014593292,1,1,2012,3
10,0.01864598684447,1,1,2012,4
10,0.0348118327881815,1,1,2012,5
10,0.0219168973077891,1,1,2012,6
10,0.0182326300276769,1,1,2012,7
10,0.0096419970525861,1,1,2012,8
10,0.0055353869379245,1,1,2012,9
10,0.017217210021207,1,1,2012,10
10,0.309963696488264,1,1,2012,11
10,0.725953416483951,1,1,2012,12
10,0.749595629200963,1,1,2012,13
10,0.705537184141476,1,1,2012,14
10,0.83206031415118,1,1,2012,15
10,0.869172567484993,1,1,2012,16
10,0.840713849250566,1,1,2012,17
10,0.883595125983969,1,1,2012,18
10,0.962321627547536,1,1,2012,19
10,0.95684015671615,1,1,2012,20
10,0.921111750116818,1,1,2012,21
10,0.907354156931814,1,1,2012,22
10,0.918757413464649,1,1,2012,23
10,0.83523237841918,2,1,2012,0
10,0.582626433269832,2,1,2012,1
10,0.33359692318752,2,1,2012,2
10,0.148520901477301,2,1,2012,3
10,0.125103339204199,2,1,2012,4
10,0.0620214945544733,2,1,2012,5
10,0.0282520398260307,2,1,2012,6
10,0.115991517199238,2,1,2012,7
10,0.224758276122353,2,1,2012,8
10,0.659861255885841,2,1,2012,9
10,0.783176377556522,2,1,2012,10
10,0.720957190611409,2,1,2012,11
10,0.677159340066856,2,1,2012,12
10,0.725522087631645,2,1,2012,13
10,0.704054491211675,2,1,2012,14
10,0.536213651558176,2,1,2012,15
10,0.375031451062148,2,1,2012,16
10,0.386749218216455,2,1,2012,17
10,0.573883037992883,2,1,2012,18
10,0.351155601883469,2,1,2012,19
10,0.808741598073398,2,1,2012,20
10,0.549485999784335,2,1,2012,21
10,0.670258078429963,2,1,2012,22
10,0.620107113331656,2,1,2012,23
10,0.4169961539844,3,1,2012,0
10,0.446012005319723,3,1,2012,1
10,0.560332123216275,3,1,2012,2
10,0.409510801193343,3,1,2012,3
10,0.225773696128823,3,1,2012,4
10,0.0456489702023651,3,1,2012,5
10,0.001914021782107,3,1,2012,6
10,0.0762553466805651,3,1,2012,7
10,0.447297005858883,3,1,2012,8
10,0.859440710254844,3,1,2012,9
10,0.605010603500953,3,1,2012,10
10,0.374968548937852,3,1,2012,11
10,0.216212573236044,3,1,2012,12
10,0.0067395133172783,3,1,2012,13
10,0.103339204198267,3,1,2012,14
10,0.418757413464649,3,1,2012,15
10,0.86918155350275,3,1,2012,16
10,0.365209733654433,3,1,2012,17
10,0.240780345781964,3,1,2012,18
10,0.209293339563639,3,1,2012,19
10,0.20746019194134,3,1,2012,20
10,0.149230796880055,3,1,2012,21
10,0.105495848459796,3,1,2012,22
10,0.131582258006542,3,1,2012,23
10,0.113484418245211,4,1,2012,0
10,0.113933719133029,4,1,2012,1
10,0.0962043060997089,4,1,2012,2
10,0.082527587074512,4,1,2012,3
10,0.0547787642428381,4,1,2012,4
10,0.0557402681427699,4,1,2012,5
10,0.0773606268645987,4,1,2012,6
10,0.0959976276913123,4,1,2012,7
10,0.233330937061931,4,1,2012,8
10,0.346186334064196,4,1,2012,9
10,0.512894935480393,4,1,2012,10
10,0.483771251931993,4,1,2012,11
10,0.461054599043888,4,1,2012,12
10,0.513649760971928,4,1,2012,13
10,0.441806549009741,4,1,2012,14
10,0.373620646274397,4,1,2012,15
10,0.450370223931562,4,1,2012,16
10,0.637333309370619,4,1,2012,17
10,0.531846446928579,4,1,2012,18
10,0.467488587757449,4,1,2012,19
10,0.218611839976995,4,1,2012,20
10,0.181140145932928,4,1,2012,21
10,0.237662197620502,4,1,2012,22
10,0.163922935911722,4,1,2012,23
10,0.0877754214442328,5,1,2012,0
10,0.0285485784119909,5,1,2012,1
10,0.0,5,1,2012,2
10,0.0,5,1,2012,3
10,0.0,5,1,2012,4
10,0.0185291686136371,5,1,2012,5
10,0.0308579849753783,5,1,2012,6
