ZONEID,U10,V10,U100,V100,Day,Month,Year,Hour
4,1.90325425549531,-1.4950017409841,2.51672299053432,-2.07806299655864,1,1,2012,1
4,2.17329623340358,-0.643641033611804,2.83710904358824,-1.00691367375165,1,1,2012,2
4,2.31274414002834,0.136595492604331,3.03409552143765,-0.0154904018067564,1,1,2012,3
4,2.21756541010985,0.79715600142596,2.9418288665829,0.823531371551426,1,1,2012,4
4,1.90059810489293,1.28565561691172,2.55917697282945,1.47110215202309,1,1,2012,5
4,1.2985373016876,2.22432445085296,1.78538238886353,2.76732842114142,1,1,2012,6
4,0.13957025551733,3.82568326011752,0.122884442186195,5.80668072747578,1,1,2012,7
4,-0.54438852459461,3.94195213110933,-1.04488309747854,6.40760905642269,1,1,2012,8
4,-0.624515734432967,2.72773033185049,-1.62225725669233,5.7649194627385,1,1,2012,9
4,-0.789639763547371,2.29204148560644,-2.62020886717654,5.64939804210159,1,1,2012,10
4,-1.90212417417605,1.30865385512988,-5.32764083141137,3.1019608931272,1,1,2012,11
4,-2.12347005770742,0.121689227092559,-5.63217739774178,0.302871447554105,1,1,2012,12
4,-1.96542909686602,-0.428139023641627,-5.30103633583975,-0.959728868139397,1,1,2012,13
4,-1.81668466313294,-0.943044023748236,-5.04631244206897,-2.14314548705831,1,1,2012,14
4,-1.68122098241174,-1.25522381289476,-4.77007853060198,-2.91708476991682,1,1,2012,15
4,-1.41250707980465,-1.51118568639688,-4.14289169882858,-3.91393158273669,1,1,2012,16
4,-0.829924714350081,-2.0835862820489,-2.1300068849421,-5.96728415800113,1,1,2012,17
4,-0.275674621987524,-2.87234067427176,-0.17146316839338,-7.80911863914165,1,1,2012,18
4,0.33302655772375,-3.72497906154507,1.2787648668083,-8.82440549093642,1,1,2012,19
4,0.930217751491392,-4.14107681597365,2.44936267195938,-9.07063424666016,1,1,2012,20
4,1.16971399747234,-4.37787349096064,2.6191786011399,-8.55322844718782,1,1,2012,21
4,1.05682759687134,-4.48093966964203,2.39898394630249,-8.4008269486011,1,1,2012,22
4,1.44019866714767,-5.15640644397543,2.38483261887078,-7.8573881529289,1,1,2012,23
4,1.83596510690177,-5.29184051348238,2.86597775154893,-7.7798315184168,2,1,2012,0
4,2.80510330124522,-5.966047239575,4.22654896051111,-8.60275052437212,2,1,2012,1
4,3.56962870321821,-5.63026073849836,5.27713705788196,-8.06472265999595,2,1,2012,2
4,3.80312108473275,-5.19974353686611,5.57604698499388,-7.44799818262148,2,1,2012,3
4,3.84163111293394,-4.8944061895395,5.69208827385536,-7.06789889535075,2,1,2012,4
4,3.68353731295013,-4.59245208151844,5.5812273996752,-6.75685990111936,2,1,2012,5
4,3.30654440529643,-3.85702043747277,5.6304413391477,-6.36765964499849,2,1,2012,6
4,1.39360942549233,-2.39419234273213,3.50698936127635,-5.29749277844331,2,1,2012,7
4,2.18245695053975,-1.59236462731488,5.45275311557856,-3.76210579831311,2,1,2012,8
4,3.0008963919944,0.94929390098557,7.28610187129623,2.20491766072843,2,1,2012,9
4,1.73695672955974,1.77142105223617,4.62388676656804,4.16216131461825,2,1,2012,10
4,1.53994753265684,2.38505608128175,3.66551005052461,5.26070178994153,2,1,2012,11
4,0.922165606566257,1.74224061322573,2.54602243789226,4.3688068426274,2,1,2012,12
4,1.04174937834888,1.68387973520485,2.36108163376929,3.86718285365181,2,1,2012,13
4,1.16984589320756,1.61917528348606,2.11086760466174,3.04434819937702,2,1,2012,14
4,0.518012994812775,1.24997929426704,0.899686652170101,1.88798980429988,2,1,2012,15
4,1.0145896742491,0.666370514058282,1.02194443864915,1.46613313054026,2,1,2012,16
4,1.38671815728791,0.530618036922767,1.20274091102708,1.63798083647534,2,1,2012,17
4,1.00486082501933,0.840607338294519,0.51270967547581,1.90779779532667,2,1,2012,18
4,0.446262731743199,0.580097911766553,-0.260208194976509,1.46720383275793,2,1,2012,19
4,0.303572943039864,0.333967252287208,-0.0540276906601398,1.32747719335277,2,1,2012,20
4,-1.29601201782196,-0.482662135091856,-2.15727605127436,0.409350041705882,2,1,2012,21
4,-1.18858930757655,-1.13351279649858,-2.3515416018237,-1.43118707045856,2,1,2012,22
4,-0.103822618456876,0.202866729196835,-0.236896328910588,0.124543251807255,2,1,2012,23
4,-1.11643367578907,0.566142049631126,-1.4838221427033,0.642763125156637,3,1,2012,0
4,-2.14064782940572,-1.80122173543565,-2.78387945910164,-2.37232845460014,3,1,2012,1
4,-0.877545504357321,-2.14790755166798,-0.999135387772769,-2.93424965786555,3,1,2012,2
4,0.632053623001839,-1.46856113553635,1.07624684853139,-1.9432349287603,3,1,2012,3
4,3.8039558716045,-1.28754818723805,5.13530510403586,-1.79674185242262,3,1,2012,4
4,5.1108540121578,-1.44445529496393,7.22291483595387,-2.05802427962191,3,1,2012,5
4,5.2999899233648,-1.19594599306288,7.65040689414568,-1.74918626420853,3,1,2012,6
4,4.64460298514545,0.305628730593241,6.98871126611941,0.301170188562463,3,1,2012,7
4,2.04282148528357,1.22121238433452,4.13359104028606,2.01481121213939,3,1,2012,8
4,0.508805221846457,1.78528905372898,1.47034843793155,3.84925436209925,3,1,2012,9
4,0.0499180930163554,1.90055880046616,0.0481966403825376,4.68885647125847,3,1,2012,10
4,-0.650427381473504,1.99829702678703,-0.19870471335861,2.32255599563981,3,1,2012,11
4,0.334784680592474,1.05334807634845,1.29257946323792,0.704572764447558,3,1,2012,12
4,2.04785994193458,1.06342870058782,5.02666850838975,2.55049484949358,3,1,2012,13
4,3.48924611771088,2.16221674267944,6.8147045977685,4.08156614360489,3,1,2012,14
4,5.0003955394242,2.11531992556584,8.43908036123883,3.47646227977725,3,1,2012,15
4,4.44073927757397,2.11356677352421,7.30098269256535,3.45678410534383,3,1,2012,16
4,4.03727517190494,2.72234881998023,6.28280853856615,4.21494043698696,3,1,2012,17
4,4.2140087282787,3.67606353062697,6.47515645033782,5.62192990897643,3,1,2012,18
4,3.14934408056224,4.37688605926857,4.9326108498217,6.72062798150901,3,1,2012,19
4,2.40869095286433,4.26073973651058,3.6962229279446,6.42162905331233,3,1,2012,20
4,2.11568531992889,4.97909378556849,3.11071400335845,7.25576500290672,3,1,2012,21
4,1.7912862263218,5.21839903925099,2.5882237100129,7.4055377749833,3,1,2012,22
4,1.75795489770745,5.30780979337412,2.45560241143194,7.36180849846459,3,1,2012,23
4,1.55099060142766,5.14958782161701,2.15038530937859,7.03985170009559,4,1,2012,0
4,1.58434173539221,5.7586747169451,2.18058492345226,7.83188741774273,4,1,2012,1
4,1.10754204053967,5.8701014958153,1.56063641632023,7.95776971509637,4,1,2012,2
4,0.717031852752205,5.6073483928026,1.06325942775516,7.54667583581589,4,1,2012,3
4,0.582580760348502,5.32367235751296,0.853064468229182,7.11916252644581,4,1,2012,4
4,0.679706624114759,5.09352010246664,0.972090529647505,6.82239653075221,4,1,2012,5
4,0.505923570351168,4.890129737542,0.741635814986497,6.65151283241225,4,1,2012,6
4,0.326923011509224,4.69257833046208,0.480284973744563,6.3857613157768,4,1,2012,7
4,0.158357462823985,4.67311513764632,0.219947120259381,6.44353338461059,4,1,2012,8
4,-0.264661795067067,4.61521213901945,-0.387339039913253,6.61684959111198,4,1,2012,9
4,-0.589351149558395,3.37005437863147,-1.16987208200393,6.26109527250387,4,1,2012,10
4,-0.633097922907659,2.79686335020747,-1.45198917225927,5.73506538259616,4,1,2012,11
4,-0.638315427986012,2.2445952540604,-1.6652230950555,5.12268145295794,4,1,2012,12
4,-0.745073608819997,1.73319986282641,-2.12208057335051,4.3442788413026,4,1,2012,13
4,-0.824540224628752,1.5035341876005,-2.38292492071407,3.61635077399678,4,1,2012,14
4,-0.904006840437507,1.65388735210221,-2.36469114109254,3.34938300328062,4,1,2012,15
4,-0.974643832267512,1.70449165342317,-2.4198989738355,3.2520826768237,4,1,2012,16
4,-0.824138878084264,1.99157374745557,-2.03901557729687,3.13349790395433,4,1,2012,17
4,-0.772365173845226,2.15068534872437,-1.8308465932844,3.10430780601726,4,1,2012,18
4,-0.823336184995286,2.12976241644744,-1.82679464225739,2.94923541072654,4,1,2012,19
4,-0.322857044017923,1.31814727603042,-1.51935285808326,2.98997992243038,4,1,2012,20
4,-0.614234635316692,1.63880337767,-0.950053738788813,2.33198646476547,4,1,2012,21
4,-0.61182655604976,2.18182645722958,-0.79202764873555,2.85862448171354,4,1,2012,22
4,-0.321653004384457,2.45187825754819,-0.378728643980864,3.18640495646528,4,1,2012,23
4,-0.0752262260684171,2.53556998665594,-0.0535595740635735,3.27154274211508,5,1,2012,0
4,0.983843915940874,3.21089619022751,1.33967712920066,4.16346358452538,5,1,2012,1
4,0.936724202075141,3.60186421383856,1.28063158587083,4.69149153777532,5,1,2012,2
4,1.14433086217664,4.00765566962443,1.57231656992021,5.2309116798764,5,1,2012,3
4,1.19984814881052,4.50979943454667,1.6809603696471,5.95146762471047,5,1,2012,4
4,1.20031468063098,4.97766401256462,1.69217902287977,6.65379606738272,5,1,2012,5
